####modifiers
beastman_target;Beastman Incursion Target;;;;;;;;;;;;x
beastman_target_desc;There are rumours from travellers that a horde of beastmen are headed this way.;;;;;;;;;;;;x
chaos_target;Chaos Incursion Target;;;;;;;;;;;;x
chaos_target_desc;There are rumours from travellers that a horde of chaos tribesmen are headed this way.;;;;;;;;;;;;x
EVTDESCNURGLELOVESYOU;Papa Nurgle has shared his creations with the people of your realm.  He's so awesome!;;;;;;;;;;;;;x
EVTDESCNURGLELOVESYOUA;Thanks Papa!;;;;;;;;;;;;;x
EVTDESCKHORNEWANTSYOU;Beastmen that have flocked in groups to your realm have gathered and attacked a neighbor.;;;;;;;;;;;;;x
EVTDESCKHORNEWANTSYOUA;SKULLS FOR THE SKULL THRONE;;;;;;;;;;;;;x
EVTDESCTZEENTCHKNOWSYOU;Tzeentch seeps into the cracks of reality, growing his influence.;;;;;;;;;;;;;x
EVTDESCTZEENTCHKNOWSYOUA;You can make cakes out of warp dust.;;;;;;;;;;;;;x
#####beastman horde events
EVTDESCBEASTRAMPAGE;Travellers tell rumours of large packs of beastmen travelling in our general direction.;;;;;;;;;;;;;x
EVTDESCBEASTRAMPAGEA;What!?!;;;;;;;;;;;;;x
EVTDESCBEASTMANREINF;Beastman reinforcements have arrived.;;;;;;;;;;;;;x
EVTDESCBEASTMANREINFA;Ok;;;;;;;;;;;;;x
####necromancer horde events
dark_necromancer_lord_dec;Create Master Necromancer;;;;;;;;;;;;;x
dark_necromancer_lord_dec_desc;A secret master necromancer reveals himself and begins his conquests.;;;;;;;;;;;;;x
create_necromancer_dec;Create Necromancer;;;;;;;;;;;;;x
create_necromancer_dec_desc;Turns the selected character into an average necromancer.;;;;;;;;;;;;;x
create_undead_champion_dec;Create Undead Champion;;;;;;;;;;;;;x
create_undead_champion_dec_desc;Turns the selected character into an undead champion.;;;;;;;;;;;;;x
necromantic_horde_dec;Raise Necromantic Horde;;;;;;;;;;;;;x
necromantic_horde_dec_desc;A necromancer discovers how to raise large amounts of undead.  (To be used on an existing necromancer to simulate Vlad-type summoning.);;;;;;;;;;;;;x
EVTDESCDEADRISENOW;The dead rise to your call.;;;;;;;;;;;;;x
EVTDESCDEADRISENOWA;Rise, rise!;;;;;;;;;;;;;x
EVTDESCCREATENECRO1;You have the knowledge and tools needed to summon masses of the dead to serve your will.;;;;;;;;;;;;;x
EVTDESCCREATENECRO1A;Excellent;;;;;;;;;;;;;x
EVTDESCCREATEMASTERNEC1;You are a master necromancer, and the living and the dead will bow to your will.;;;;;;;;;;;;;x
EVTDESCCREATEMASTERNEC1A;Death is my old friend!;;;;;;;;;;;;;x
EVTDESCCREATEUNDEADCHAMP1;You have been transformed by a ritual into a sentient undead.;;;;;;;;;;;;;x
EVTDESCCREATEUNDEADCHAMP1A;NOOOO!;;;;;;;;;;;;;x
EVTDESCCREATEUNDEADHORDE1;You have the knowledge and tools needed to summon masses of the dead to serve your will.;;;;;;;;;;;;;x
EVTDESCCREATEUNDEADHORDE1A;Rise, rise!!;;;;;;;;;;;;;x
